daughter;Tochter;Their daughter studies in the city.;Ihre Tochter studiert in der Stadt.
day;Tag;Every day is a new beginning.;Jeder Tag ist ein neuer Anfang.
death;Tod;Death is a part of life.;Der Tod ist ein Teil des Lebens.
decade;Jahrzehnt;The museum shows items from the past decade.;Das Museum zeigt Gegenstände aus dem vergangenen Jahrzehnt.
decision;Entscheidung;She makes a decision every morning.;Sie trifft jeden Morgen eine Entscheidung.
defense, defence;Verteidigung;The team improves its defense.;Die Mannschaft verbessert ihre Verteidigung.
degree;Maß, Ausmaß, Grad;He earns a degree from the university.;Er erwirbt einen Abschluss an der Universität.
development;Entwicklung;The development of technology is rapid.;Die Entwicklung der Technologie ist schnell.
difference;Unterschied;There is a difference between the two ideas.;Es gibt einen Unterschied zwischen den beiden Ideen.
difficult;schwierig;The exam is difficult.;Die Prüfung ist schwierig.
direction;Richtung;She walks in the right direction.;Sie geht in die richtige Richtung.
discussion;Diskussion;They have a discussion about the project.;Sie führen eine Diskussion über das Projekt.
disease;Krankheit;The disease spreads quickly in winter.;Die Krankheit breitet sich im Winter schnell aus.
doctor;Doktor;The doctor treats his patients kindly.;Der Doktor behandelt seine Patienten freundlich.
dog;Hund;The dog barks at strangers.;Der Hund bellt Fremde an.
door;Tür;She opens the door for her friend.;Sie öffnet die Tür für ihre Freundin.
dream;Traum;He has a dream to travel the world.;Er hat den Traum, die Welt zu bereisen.
drug;Droge, Medikament;The doctor prescribes a drug for the illness.;Der Arzt verschreibt ein Medikament gegen die Krankheit.
east;Osten;The sun rises in the east.;Die Sonne geht im Osten auf.
edge;Rand, Kante;The knife is sharp on its edge.;Das Messer ist an seiner Kante scharf.
education;Bildung;Education opens many doors.;Bildung öffnet viele Türen.
effect;Auswirkung, Effekt;The effect of the medicine is immediate.;Die Wirkung des Medikaments ist sofort.
effort;Anstrengung;Her effort leads to success.;Ihre Anstrengung führt zum Erfolg.
election;Wahl;The election takes place in November.;Die Wahl findet im November statt.
elevator;Aufzug;The elevator stops on every floor.;Der Aufzug hält in jedem Stockwerk.
employee;Angestellter;Each employee works hard.;Jeder Angestellte arbeitet hart.
enemy;Feind;He faces his enemy bravely.;Er stellt sich mutig seinem Feind.
energy;Energie;The plant produces energy every day.;Das Kraftwerk produziert jeden Tag Energie.
grandson;Enkel(sohn);The grandfather loves his grandson.;Der Großvater liebt seinen Enkel.
granddaughter;Enkeltochter;The granddaughter visits her grandparents every summer.;Die Enkeltochter besucht ihre Großeltern jeden Sommer.
environment;Umwelt, Umfeld, Umgebung;The environment in the park is very clean and green.;Die Umwelt im Park ist sehr sauber und grün.
evening;Abend;They enjoy a quiet evening at home after a busy day.;Sie genießen einen ruhigen Abend zu Hause nach einem geschäftigen Tag.
event;Ereignis, Vorfall;The event attracted many visitors from the city.;Das Ereignis zog viele Besucher aus der Stadt an.
evidence;Beweis;The detective found crucial evidence at the crime scene.;Der Ermittler fand entscheidende Beweise am Tatort.
example;Beispiel;This model is an example of innovative design.;Dieses Modell ist ein Beispiel für innovatives Design.
experience;Erfahrung;She gained valuable experience during her internship.;Sie sammelte wertvolle Erfahrungen während ihres Praktikums.
eye;Auge;Her eye caught a glimpse of the rare bird in the tree.;Ihr Auge entdeckte den seltenen Vogel im Baum.
face;Gesicht;He has a friendly face that makes everyone smile.;Er hat ein freundliches Gesicht, das alle zum Lächeln bringt.
fact;Fakt, Tatsache;It is a fact that exercise improves health.;Es ist eine Tatsache, dass Bewegung die Gesundheit verbessert.
family;Familie;The family gathers every Sunday for dinner.;Die Familie versammelt sich jeden Sonntag zum Abendessen.
father;Vater;Her father always supports her decisions.;Ihr Vater unterstützt stets ihre Entscheidungen.
fear;Angst;He has a fear of heights that stops him from climbing.;Er hat Angst vor Höhen, die ihn am Klettern hindert.
feeling;Gefühl;She had a warm feeling of joy when she saw her friends.;Sie empfand ein warmes Gefühl der Freude, als sie ihre Freunde sah.
figure;Gestalt, Figur, Zahl;The statue’s figure is carved with great detail.;Die Figur der Statue ist mit großer Detailtreue geschnitzt.
finger;Finger;He accidentally cut his finger while cooking.;Er schnitt sich beim Kochen versehentlich in den Finger.
fire;Feuer;The campfire burned brightly under the starry sky.;Das Lagerfeuer brannte hell unter dem sternenklaren Himmel.
fish;Fisch;She caught a huge fish during her morning fishing trip.;Sie fing während ihres morgendlichen Angelausflugs einen riesigen Fisch.
floor;Fußboden, Etage;The wooden floor of the hall is polished to perfection.;Der Holzboden der Halle ist bis zur Perfektion poliert.
fog;Nebel;A thick fog covered the city early in the morning.;Ein dichter Nebel bedeckte die Stadt am frühen Morgen.
food;Essen, Lebensmittel;They prepare fresh food every day for the community meal.;Sie bereiten täglich frische Lebensmittel für das Gemeinschaftsessen zu.
foot;Fuß;He injured his foot during the hike in the mountains.;Er verletzte sich den Fuß bei der Wanderung in den Bergen.
Friday;Freitag;Every Friday, they meet for a fun game night.;Jeden Freitag treffen sie sich zu einem unterhaltsamen Spieleabend.
friend;Freund;Her friend helped her move into the new apartment.;Ihr Freund half ihr beim Umzug in die neue Wohnung.
fund;Fonds;The fund provides scholarships for talented students.;Der Fonds vergibt Stipendien an talentierte Studierende.
future;Zukunft;She is optimistic about a bright future.;Sie ist optimistisch bezüglich einer strahlenden Zukunft.
game;Spiel;They played an exciting game of soccer in the park.;Sie spielten ein spannendes Fußballspiel im Park.
garden;Garten;The garden is filled with vibrant, blooming flowers.;Der Garten ist voller leuchtender, blühender Blumen.
gas station;Tankstelle;He stopped at the gas station to refuel his car.;Er hielt an der Tankstelle, um sein Auto aufzutanken.
girl;Mädchen;The little girl laughed happily at the clown’s tricks.;Das kleine Mädchen lachte fröhlich über die Späße des Clowns.
glass;Glas;She poured fresh lemonade into a tall glass.;Sie goss frische Limonade in ein hohes Glas.
goal;Ziel, Tor;He scored the winning goal in the final minute of the match.;Er schoss das Siegestor in der letzten Minute des Spiels.
government;Regierung;The government announced a new plan to improve education.;Die Regierung kündigte einen neuen Plan zur Verbesserung der Bildung an.
ground;Boden, Gelände;The children played on the soft ground in the park.;Die Kinder spielten auf dem weichen Boden im Park.
group;Gruppe;A group of students went on a field trip to the museum.;Eine Gruppe von Schülern unternahm einen Ausflug ins Museum.
growth;Wachstum;The rapid growth of the plant was impressive.;Das schnelle Wachstum der Pflanze war beeindruckend.
gun;Gewehr;The soldier carried a gun for protection during the mission.;Der Soldat trug ein Gewehr zum Schutz während der Mission.
guy;Typ, Kerl;He is a friendly guy who always offers help.;Er ist ein netter Typ, der immer Hilfe anbietet.
hair;Haar/e;Her long hair flows beautifully in the wind.;Ihr langes Haar weht wunderschön im Wind.
hand;Hand;She held his hand as they crossed the busy street.;Sie hielt seine Hand, als sie die belebte Straße überquerten.
head;Kopf;He nodded his head in agreement during the discussion.;Er nickte zustimmend während der Diskussion.
heart;Herz;Her heart raced with excitement during the concert.;Ihr Herz schlug vor Aufregung während des Konzerts.
heat;Hitze;The intense heat made it hard to stay outside for long.;Die intensive Hitze machte es schwer, lange draußen zu bleiben.
history;Geschichte;He loves reading history books to learn about past events.;Er liest gerne Geschichtsbücher, um vergangene Ereignisse zu verstehen.
hit;Treffer, Schlag;He hits the ball with great power.;Er schlägt den Ball mit großer Kraft.
home;Zuhause, Heimat;She feels at home in her new city.;Sie fühlt sich in ihrer neuen Stadt wie zu Hause.
hospital;Krankenhaus;He was taken to the hospital after the accident.;Nach dem Unfall wurde er ins Krankenhaus gebracht.
hotel;Hotel;They stayed at a luxurious hotel during their vacation.;Sie übernachteten in einem luxuriösen Hotel während ihres Urlaubs.
hour;Stunde;The meeting lasted for two hours.;Die Besprechung dauerte zwei Stunden.
house;Haus;They bought a beautiful house by the lake.;Sie kauften ein schönes Haus am See.
husband;Ehemann;Her husband always supports her career.;Ihr Ehemann unterstützt sie immer in ihrer Karriere.
idea;Idee;He has an innovative idea for the project.;Er hat eine innovative Idee für das Projekt.
image;Bild, Vorstellung;The image on the screen was stunning.;Das Bild auf dem Bildschirm war atemberaubend.
impact;Auswirkung, Aufprall;The impact of the crash was severe.;Der Aufprall des Unfalls war heftig.
interest;Interesse, Zins;She has a keen interest in art.;Sie hat ein ausgeprägtes Interesse an Kunst.
item;Gegenstand, Objekt;Each item in the store is carefully priced.;Jeder Gegenstand im Geschäft ist sorgfältig bepreist.
juice;Saft;He drinks orange juice every morning.;Er trinkt jeden Morgen Orangensaft.
key;Schlüssel;She lost her key on the way home.;Sie verlor ihren Schlüssel auf dem Heimweg.
kindergarten, nursery school;Kindergarten;The children love going to kindergarten.;Die Kinder gehen gerne in den Kindergarten.
kitchen;Küche;The kitchen is modern and spacious.;Die Küche ist modern und geräumig.
knowledge;Wissen;He seeks knowledge through continuous learning.;Er sucht Wissen durch kontinuierliches Lernen.
lake;See;They had a picnic by the lake.;Sie machten ein Picknick am See.
land;Land;The land is fertile and green.;Das Land ist fruchtbar und grün.
language;Sprache;Learning a new language is exciting.;Eine neue Sprache zu lernen ist aufregend.
law;Gesetz;The new law will be implemented next year.;Das neue Gesetz wird nächstes Jahr in Kraft treten.
lawyer;Anwalt;She consulted a lawyer about the contract.;Sie konsultierte einen Anwalt wegen des Vertrags.
leg;Bein;He broke his leg while skiing.;Er brach sich beim Skifahren das Bein.
legal;gesetzlich, legal;It is legal to drive at the age of 18.;Es ist legal, mit 18 Jahren zu fahren.
letter;Brief, Buchstabe;She wrote a letter to her friend.;Sie schrieb einen Brief an ihre Freundin.
life;Leben;Life is full of surprises.;Das Leben ist voller Überraschungen.
line;Linie, Zeile;Please draw a straight line on the paper.;Bitte zieh eine gerade Linie auf das Papier.
list;Liste;She made a list of things to do.;Sie machte eine Liste der zu erledigenden Dinge.
loss;Verlust;He felt the loss of his friend deeply.;Er empfand den Verlust seines Freundes tief.
majority;Mehrheit;The majority of voters supported the proposal.;Die Mehrheit der Wähler unterstützte den Vorschlag.
man;Mann;The man helped an elderly lady cross the street.;Der Mann half einer älteren Dame, die Straße zu überqueren.
market;Markt;She shops at the local market.;Sie kauft auf dem lokalen Markt ein.
marriage;Ehe;They celebrate their marriage every year.;Sie feiern jedes Jahr ihre Ehe.
matter;Angelegenheit, Anliegen;This matter needs urgent attention.;Diese Angelegenheit braucht dringende Aufmerksamkeit.
measure;Maß, Ausmaß;He takes a measure of the room before painting.;Er misst den Raum aus, bevor er malt.
meat;Fleisch;She prefers to cook meat on the grill.;Sie kocht gerne Fleisch auf dem Grill.
memory;Erinnerung;His memory is sharp despite his age.;Sein Gedächtnis ist trotz seines Alters scharf.
message;Nachricht, Mitteilung;She sends a message to her friend every day.;Sie schickt ihrem Freund jeden Tag eine Nachricht.
method;Methode;He uses a new method to solve problems.;Er verwendet eine neue Methode, um Probleme zu lösen.
middle;Mitte, Zentrum;The park is in the middle of the city.;Der Park liegt im Zentrum der Stadt.
milk;Milch;She drinks a glass of milk every morning.;Sie trinkt jeden Morgen ein Glas Milch.
minute;Minute;The meeting lasts just a minute.;Das Treffen dauert nur eine Minute.
moment;Augenblick, Moment;He enjoys every moment of his vacation.;Er genießt jeden Moment seines Urlaubs.
Monday;Montag;She starts her work on Monday.;Sie beginnt ihre Arbeit am Montag.
money;Geld;He saves money for his future.;Er spart Geld für seine Zukunft.
month;Monat;They travel once a month.;Sie reisen einmal im Monat.
morning;Morgen;She jogs every morning.;Sie joggt jeden Morgen.
mother;Mutter;Her mother bakes delicious cakes.;Ihre Mutter backt köstliche Kuchen.
mountain;Berg;He climbs a mountain every summer.;Er besteigt jeden Sommer einen Berg.
mouth;Mund;He covers his mouth when he laughs.;Er hält seinen Mund beim Lachen zurück.
movement;Bewegung;The movement of the dancers is graceful.;Die Bewegung der Tänzer ist anmutig.
movie;Film;He watches a movie every weekend.;Er sieht sich jedes Wochenende einen Film an.
music;Musik;She listens to music while working.;Sie hört beim Arbeiten Musik.
name;Name;Her name is Emma.;Ihr Name ist Emma.
nature;Natur;He enjoys walking in nature.;Er genießt es, in der Natur spazieren zu gehen.
nephew;Neffe;His nephew plays in the park.;Sein Neffe spielt im Park.
news;Nachricht;The news travels fast.;Die Nachricht verbreitet sich schnell.
newspaper;Zeitung;He reads the newspaper every morning.;Er liest jeden Morgen die Zeitung.
niece;Nichte;Her niece smiles at everyone.;Ihre Nichte lächelt jeden an.
night;Nacht;They sleep early at night.;Sie gehen nachts früh schlafen.
noon;Mittag;They have lunch at noon.;Sie essen um Mittag zu Mittag.
north;Norden;The wind comes from the north.;Der Wind kommt aus dem Norden.
number;Zahl, Nummer;He writes his phone number on the form.;Er trägt seine Telefonnummer ins Formular ein.
offer;Angebot;They offer a discount to new customers.;Sie bieten neuen Kunden einen Rabatt an.
office;Büro;She works in a busy office.;Sie arbeitet in einem belebten Büro.
oil;Öl;He adds oil to the salad.;Er gibt Öl in den Salat.
opportunity;Möglichkeit, Gelegenheit;She takes every opportunity to learn.;Sie ergreift jede Gelegenheit zu lernen.
order;Befehl, Reihenfolge, Bestellung;He places an order online.;Er gibt online eine Bestellung auf.
owner;Eigentümer;The owner of the shop greets every customer.;Der Eigentümer des Ladens begrüßt jeden Kunden.
page;Seite;She turns the page of her book.;Sie blättert eine Seite in ihrem Buch um.
pain;Schmerz;He feels pain in his leg.;Er spürt Schmerzen in seinem Bein.
painting;Gemälde, Anstrich;The painting hangs in the gallery.;Das Gemälde hängt in der Galerie.
paper;Papier;She writes her notes on paper.;Sie schreibt ihre Notizen auf Papier.
parents;Eltern;Her parents live in the city.;Ihre Eltern wohnen in der Stadt.
part;Teil;He works on every part of the project.;Er arbeitet an jedem Teil des Projekts.
participant;Teilnehmer;Each participant listens carefully.;Jeder Teilnehmer hört aufmerksam zu.
party;Party;They throw a party on weekends.;Am Wochenende veranstalten sie eine Party.
patience;Geduld;She shows great patience with children.;Sie zeigt große Geduld mit Kindern.
pattern;Muster;The pattern on the fabric is unique.;Das Muster auf dem Stoff ist einzigartig.
peace;Friede;The community lives in peace.;Die Gemeinschaft lebt in Frieden.
people;Leute;Many people visit the museum.;Viele Leute besuchen das Museum.
performance;Leistung;His performance in the play is excellent.;Seine Leistung im Theaterstück ist ausgezeichnet.
person;Person;Each person has a unique story.;Jede Person hat eine einzigartige Geschichte.
petrol station;Tankstelle;The car stops at the petrol station.;Das Auto hält an der Tankstelle an.
pharmacy;Apotheke;She picks up her medicine at the pharmacy.;Sie holt ihr Medikament in der Apotheke ab.
picture;Bild;He takes a picture of the sunset.;Er macht ein Foto vom Sonnenuntergang.
piece;Stück;She eats a piece of cake every afternoon.;Sie isst jeden Nachmittag ein Stück Kuchen.
place;Ort, Stelle;This place is perfect for a picnic.;Dieser Ort ist perfekt für ein Picknick.
plane;Flugzeug;The plane departs at nine.;Das Flugzeug startet um neun Uhr.
plant;Pflanze, Betrieb, Fabrik;He waters the plant every day.;Er gießt die Pflanze jeden Tag.
player;Spieler;The player scores a goal.;Der Spieler erzielt ein Tor.
police;Polizei;The police patrol the neighborhood.;Die Polizei patrouilliert in der Nachbarschaft.
policy;Bestimmung, Grundsatz;The company follows a strict policy.;Das Unternehmen folgt einer strengen Richtlinie.
population;Bevölkerung;The population of the city grows rapidly.;Die Bevölkerung der Stadt wächst schnell.
port;Hafen;The ship docks at the port.;Das Schiff legt im Hafen an.
position;Lage, Position, Stellung;She holds a high position in the company.;Sie bekleidet eine hohe Position in der Firma.
power;Macht, Strom;The power goes out during the storm.;Der Strom fällt während des Sturms aus.
president;Präsident;The president speaks at the event.;Der Präsident spricht bei der Veranstaltung.
pressure;Druck;He feels pressure to succeed.;Er spürt den Druck, erfolgreich zu sein.
price;Preis;The price of the book is reasonable.;Der Preis des Buches ist angemessen.
problem;Problem;They solve the problem quickly.;Sie lösen das Problem schnell.
process;Prozess, Vorgang;The process is simple and efficient.;Der Prozess ist einfach und effizient.
product;Produkt;The store sells a new product.;Das Geschäft verkauft ein neues Produkt.
production;Produktion;The production of goods increases daily.;Die Produktion von Waren steigt täglich.
project;Projekt, Vorhaben;She manages a large project.;Sie leitet ein großes Projekt.
property;Besitz;He owns a property in the city.;Er besitzt eine Immobilie in der Stadt.
purpose;Zweck, Ziel, Absicht;The purpose of the meeting is clear.;Der Zweck des Treffens ist klar.
quality;Qualität;The quality of the product is excellent.;Die Qualität des Produkts ist ausgezeichnet.
question;Frage;He asks a question in class.;Er stellt im Unterricht eine Frage.
radio;Radio, Funk;She listens to the radio every morning.;Sie hört jeden Morgen Radio.
railway station;Bahnhof;The train arrives at the railway station.;Der Zug kommt am Bahnhof an.
rain;Regen;It rains frequently in spring.;Im Frühling regnet es häufig.
range;Reichweite;The store offers a wide range of items.;Das Geschäft bietet eine große Auswahl an Produkten.
reality;Wirklichkeit, Realität;Reality can be surprising.;Die Realität kann überraschend sein.
reason;Grund, Vernunft;He explains the reason for his absence.;Er erklärt den Grund für seine Abwesenheit.
record;Bericht, Aufzeichnung, Rekord;She sets a new record in running.;Sie stellt einen neuen Rekord im Laufen auf.
region;Region, Gebiet;The region is famous for its vineyards.;Die Region ist berühmt für ihre Weinberge.
relationship;Beziehung;They maintain a close relationship.;Sie pflegen eine enge Beziehung.
resource;Quelle, Resource;The library is a valuable resource.;Die Bibliothek ist eine wertvolle Ressource.
response;Antwort;He gives a quick response to the question.;Er gibt eine schnelle Antwort auf die Frage.
responsibility;Verantwortung;She takes responsibility for her actions.;Sie übernimmt Verantwortung für ihre Handlungen.
restaurant;Restaurant;They dine at a new restaurant every week.;Sie essen jede Woche in einem neuen Restaurant.
restroom;Toilette;He finds the restroom in the building.;Er findet die Toilette im Gebäude.
result;Ergebnis;The test result is positive.;Das Testergebnis ist positiv.
risk;Risiko;He takes a risk by investing in stocks.;Er geht ein Risiko ein, indem er in Aktien investiert.
river;Fluss;The river flows through the town.;Der Fluss fließt durch die Stadt.
road;Straße;The road leads to the countryside.;Die Straße führt aufs Land.
rock;Fels;A large rock blocks the path.;Ein großer Fels blockiert den Weg.
role;Rolle, Funktion, Aufgabe;She plays an important role in the team.;Sie spielt eine wichtige Rolle im Team.
room;Zimmer;There is plenty of room in the house.;Im Haus gibt es viel Platz.
Saturday;Samstag;They relax on Saturday afternoons.;Sie entspannen samstagnachmittags.
scene;Schauplatz, Szene;The director sets the scene carefully.;Der Regisseur gestaltet den Schauplatz sorgfältig.
school;Schule;The children go to school every day.;Die Kinder gehen jeden Tag zur Schule.
science;Wissenschaft;She studies science at the university.;Sie studiert Wissenschaft an der Universität.
sea;Meer;They swim in the sea during summer.;Im Sommer schwimmen sie im Meer.
season;Jahreszeit;Each season brings different weather.;Jede Jahreszeit bringt unterschiedliches Wetter.
seat;Sitz;He saves a seat for his friend.;Er reserviert einen Sitz für seinen Freund.
second;Sekunde;The clock ticks every second.;Die Uhr tickt jede Sekunde.
security;Sicherheit;Security guards protect the building.;Sicherheitsleute schützen das Gebäude.
series;Folge, Serie, Reihe;She watches a popular TV series.;Sie schaut eine beliebte Fernsehserie.
service;Dienst, Service;The restaurant provides excellent service.;Das Restaurant bietet einen ausgezeichneten Service.
ship;Schiff;The ship sails across the ocean.;Das Schiff segelt über den Ozean.
shot;Schuss;He fires a shot in the game.;Er gibt im Spiel einen Schuss ab.
shoulder;Schulter;She carries the bag on her shoulder.;Sie trägt die Tasche auf der Schulter.
side;Seite, Rand;He stands by her side.;Er steht an ihrer Seite.
sign;Zeichen;The sign shows the way to the park.;Das Zeichen weist den Weg zum Park.
sister;Schwester;Her sister visits every weekend.;Ihre Schwester besucht sie jedes Wochenende.
sister-in-law;Schwägerin;Her sister-in-law cooks dinner.;Ihre Schwägerin kocht das Abendessen.
site;Grundstück, Stätte, Standort;The construction site is busy today.;Die Baustelle ist heute beschäftigt.
situation;Situation;The situation improves slowly.;Die Situation verbessert sich langsam.
size;Größe;The size of the room is perfect.;Die Größe des Zimmers ist perfekt.
skill;Fähigkeit, Können;He develops his skill with practice.;Er verbessert seine Fähigkeit durch Übung.
skin;Haut;Her skin feels soft and smooth.;Ihre Haut fühlt sich weich und glatt an.
smile;Lächeln;He wears a smile every day.;Er trägt jeden Tag ein Lächeln.
soldier;Soldat;The soldier marches in formation.;Der Soldat marschiert in Formation.
son;Sohn;Her son plays soccer on weekends.;Ihr Sohn spielt am Wochenende Fußball.
song;Lied;He sings a song during the concert.;Er singt ein Lied während des Konzerts.
sound;Geräusch, Klang;The sound of the bell is clear.;Der Klang der Glocke ist klar.
soup;Suppe;She prepares a warm soup for dinner.;Sie bereitet eine warme Suppe zum Abendessen zu.
source;Quelle, Ursprung;The book is a reliable source of information.;Das Buch ist eine zuverlässige Quelle für Informationen.
south;Süden;They travel south for the winter.;Sie reisen im Winter in den Süden.
space;Platz, Raum;The room has plenty of space.;Das Zimmer hat viel Platz.
speech;Rede;He gives a short speech at the event.;Er hält eine kurze Rede bei der Veranstaltung.
sport;Sport;She plays sport every evening.;Sie treibt jeden Abend Sport.
spring;Frühling;Spring brings blooming flowers.;Der Frühling bringt blühende Blumen.
staff;Personal, Belegschaft;The staff works efficiently.;Das Personal arbeitet effizient.
stage;Bühne, Phase;The actor performs on stage.;Der Schauspieler tritt auf der Bühne auf.
standard;Standard;The product meets high standards.;Das Produkt entspricht hohen Standards.
star;Stern;The star shines brightly in the sky.;Der Stern leuchtet hell am Himmel.
state;Zustand, Bundesland, Staat;The state of the machine is good.;Der Zustand der Maschine ist gut.
statement;Aussage, Erklärung;He makes a clear statement about the issue.;Er gibt eine klare Aussage zum Thema ab.
step;Stufe, Schritt;She takes one step at a time.;Sie geht einen Schritt nach dem anderen.
stepbrother;Stiefbruder;His stepbrother helps him with homework.;Sein Stiefbruder hilft ihm bei den Hausaufgaben.
stepsister;Stiefschwester;Her stepsister visits on holidays.;Ihre Stiefschwester besucht sie an Feiertagen.
